Education,Income,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Total_Expenses,Children,Age,Relationship Status,TotalAcceptedCmp,NumTotalPurchases,Customer_Day
Undergraduate,21474.0,0,6,16,24,11,0,34,2,3,1,2,7,1,0,0,0,0,0,1,91,1,32,Single,2,6,124
PhD,60504.0,73,458,0,24,6,4,34,2,6,2,8,6,0,0,0,0,0,0,0,526,1,50,Single,0,16,157
Undergraduate,22419.0,74,30,3,47,19,21,42,1,3,2,2,8,0,0,0,0,0,0,0,162,0,58,Couple,0,7,597
Master,81698.0,4,179,28,520,111,123,47,1,3,8,13,1,0,0,0,0,0,0,1,1008,0,72,Couple,1,24,543
Undergraduate,43462.0,50,90,17,97,15,6,15,6,4,1,5,8,0,0,0,0,0,0,0,240,2,69,Couple,0,10,727
PhD,54880.0,57,308,85,137,102,45,118,2,6,2,11,5,0,0,0,0,0,0,0,795,1,43,Single,0,19,702
Undergraduate,79908.0,30,557,129,761,29,185,111,1,5,6,7,2,0,0,1,0,0,0,0,1772,0,39,Couple,1,18,581
Master,15315.0,27,7,4,13,15,8,17,2,2,0,4,5,0,0,0,0,0,0,0,64,0,51,Couple,0,6,638
Undergraduate,87771.0,61,1492,38,287,50,57,33,1,5,10,4,6,0,1,1,1,1,0,1,1957,1,62,Couple,5,19,563
Undergraduate,33039.0,4,30,8,12,8,8,12,1,2,0,4,5,0,0,0,0,0,0,0,78,1,43,Couple,0,6,453
Undergraduate,81741.0,75,249,153,940,58,134,38,0,6,6,7,2,0,0,0,0,0,0,0,1572,0,41,Single,0,19,538
Master,71499.0,12,465,25,132,136,0,37,2,8,3,13,4,0,0,0,0,0,0,0,795,1,50,Couple,0,24,529
Master,62466.0,13,129,129,259,168,121,83,5,6,3,12,4,0,0,0,0,0,0,0,889,1,51,Couple,0,21,325
PhD,48799.0,9,174,18,81,28,6,24,3,3,2,7,3,0,0,0,0,0,0,0,331,1,58,Single,0,12,574
PhD,52157.0,48,189,2,29,3,2,40,2,3,2,5,4,0,0,0,0,0,0,0,265,1,71,Couple,0,10,153
Undergraduate,66565.0,80,747,10,161,65,40,42,4,4,2,9,8,0,0,0,0,0,0,0,1065,1,59,Single,0,15,938
Master,29298.0,60,6,0,2,2,0,1,1,1,0,2,5,0,0,0,0,0,0,0,11,2,70,Couple,0,3,515
Undergraduate,47691.0,43,14,0,3,0,0,4,1,1,0,2,6,0,0,0,0,0,0,0,21,1,42,Single,0,3,578
Undergraduate,38200.0,19,12,0,4,0,0,1,1,1,0,2,7,0,0,0,0,0,0,0,17,2,51,Couple,0,3,877
Undergraduate,44989.0,26,98,0,106,49,10,106,5,5,1,5,6,0,0,0,0,0,0,0,369,1,47,Couple,0,11,727
PhD,38443.0,58,32,0,5,0,0,1,2,1,0,3,7,0,0,0,0,0,0,0,38,2,53,Couple,0,4,313
Master,38593.0,42,51,12,49,17,24,24,3,4,1,3,8,0,0,0,0,0,0,0,177,1,43,Single,0,8,449
PhD,64413.0,27,200,5,44,0,10,20,1,5,1,5,5,0,0,0,0,0,0,0,279,1,51,Couple,0,11,697
Master,36959.0,56,25,6,25,6,0,0,2,2,0,3,8,0,0,0,0,0,0,0,62,1,40,Couple,0,5,664
PhD,61996.0,27,1050,12,144,0,0,24,3,6,4,8,5,0,1,0,1,1,0,1,1230,1,44,Couple,4,18,674
Undergraduate,51287.0,10,117,0,22,13,0,30,3,4,1,3,7,0,0,0,0,0,0,0,182,2,53,Couple,0,8,336
Undergraduate,13260.0,48,9,4,17,10,2,7,4,3,0,3,8,0,0,0,0,0,0,0,49,2,51,Couple,0,6,470
PhD,47472.0,39,56,0,11,0,0,8,2,2,0,4,5,0,0,0,0,0,0,0,75,2,55,Couple,0,6,446
Master,54603.0,85,145,13,46,17,2,4,6,4,2,4,7,0,0,0,0,0,0,0,227,2,65,Couple,0,10,455
PhD,45207.0,64,203,0,10,0,0,2,5,3,1,6,6,0,1,0,0,0,0,0,215,2,47,Couple,1,10,786
Undergraduate,40689.0,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,0,444,1,70,Couple,0,13,628
Master,47821.0,54,9,0,16,6,6,10,1,1,0,3,8,0,0,0,0,0,0,0,47,2,54,Couple,0,4,412
Master,27450.0,57,37,12,23,8,11,52,1,2,1,3,7,0,0,0,0,0,0,0,143,0,70,Couple,0,6,600
Undergraduate,39453.0,64,46,0,7,0,0,2,2,2,0,3,6,0,0,0,0,0,0,0,55,1,38,Couple,0,5,277
Master,26850.0,10,31,1,13,7,2,9,4,2,1,4,4,0,0,0,0,0,0,0,63,2,50,Couple,0,7,232
Undergraduate,79800.0,65,1060,21,530,32,0,224,1,5,11,5,3,1,0,1,1,0,0,1,1867,0,66,Single,4,21,804
Master,61794.0,74,264,47,188,54,47,11,2,4,4,10,2,0,0,0,0,0,0,0,611,1,60,Couple,0,18,448
Undergraduate,53863.0,4,399,4,30,6,4,30,3,7,1,7,7,0,1,0,0,0,0,0,473,1,66,Couple,1,15,203
Undergraduate,24221.0,94,8,9,9,2,5,22,1,1,1,3,4,0,0,0,0,0,0,0,55,0,62,Couple,0,5,473
PhD,39684.0,41,19,0,35,6,4,17,2,2,1,2,7,0,0,0,0,0,1,1,81,1,37,Single,1,5,726
Master,92163.0,25,817,183,797,106,163,20,0,5,11,5,2,0,0,1,1,0,0,1,2086,0,46,Couple,3,21,724
Master,69882.0,94,292,127,635,132,127,165,1,3,7,9,1,0,0,0,0,0,0,0,1478,0,56,Single,0,19,421
Undergraduate,33178.0,9,12,6,2,11,2,16,1,1,0,3,4,0,0,0,0,0,0,0,49,1,44,Couple,0,4,310
PhD,59973.0,47,130,30,168,20,34,0,1,3,4,7,1,0,0,0,0,0,0,0,382,0,49,Couple,0,14,392
Master,17459.0,12,6,4,16,3,10,30,3,3,1,2,7,0,0,0,0,0,0,1,69,1,46,Couple,1,6,443
Undergraduate,23910.0,80,16,12,18,7,1,13,1,2,0,3,7,0,0,0,0,0,0,0,67,1,52,Single,0,5,771
Master,42169.0,20,19,0,9,0,0,2,2,1,0,3,8,0,0,0,0,0,0,0,30,2,52,Couple,0,4,413
Master,26224.0,39,4,7,15,13,9,15,3,2,1,3,6,0,0,0,0,0,0,0,63,1,43,Couple,0,6,609
Undergraduate,31089.0,57,31,3,31,2,8,4,3,3,0,4,8,0,0,0,0,0,0,0,79,1,40,Couple,0,7,841
Undergraduate,30081.0,27,36,0,2,0,0,4,1,1,0,3,7,0,0,0,0,0,0,0,42,1,60,Single,0,4,653
Undergraduate,62807.0,83,526,28,135,10,21,99,3,5,3,12,5,0,0,0,0,0,0,0,819,1,61,Couple,0,20,827
Undergraduate,72906.0,79,400,32,519,71,75,54,1,3,4,9,1,0,0,0,0,0,0,0,1151,0,66,Single,0,16,445
PhD,61467.0,69,410,16,114,0,5,49,3,5,2,10,5,0,0,0,0,0,0,0,594,2,73,Couple,0,17,815
Master,49618.0,77,80,3,26,4,2,14,4,3,1,3,7,0,0,0,0,0,0,0,129,2,55,Couple,0,7,679
Master,21888.0,15,88,10,46,2,3,64,4,5,1,2,10,0,0,0,0,0,0,1,213,1,35,Single,1,8,707
Undergraduate,42429.0,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0,67,1,48,Single,0,5,34
Undergraduate,26150.0,61,5,1,13,3,5,1,1,1,0,3,7,0,0,0,0,0,0,0,28,3,65,Single,0,4,398
Highschool,30801.0,23,8,4,5,15,2,11,2,1,0,3,7,0,0,0,0,0,0,0,45,1,46,Couple,0,4,771
Undergraduate,81168.0,84,410,0,592,147,22,22,1,6,4,7,3,0,0,0,1,0,0,0,1193,0,56,Couple,1,17,154
Master,26877.0,74,101,13,76,20,18,40,2,3,1,6,6,0,0,0,0,0,0,0,268,0,52,Single,0,10,474
Master,45006.0,90,162,25,53,16,0,10,1,3,1,7,3,0,0,0,0,0,0,0,266,0,77,Single,0,11,506
Highschool,18978.0,41,2,8,1,4,7,15,1,1,0,3,8,0,0,0,0,0,0,0,37,1,48,Couple,0,4,754
Undergraduate,22574.0,28,25,0,8,2,0,2,2,2,0,3,7,0,0,0,0,0,0,0,37,3,54,Couple,0,5,404
PhD,48240.0,73,389,91,248,64,49,41,3,6,3,13,5,0,0,0,0,0,0,1,882,0,52,Single,1,22,816
Undergraduate,45837.0,88,215,13,87,17,17,24,5,6,2,5,7,0,0,0,0,0,0,0,373,2,47,Couple,0,13,498
Master,35791.0,94,27,0,5,0,0,3,2,1,0,3,8,0,0,0,0,0,0,0,35,3,56,Single,0,4,549
PhD,162397.0,31,85,1,16,2,1,2,0,0,0,1,1,0,0,0,0,0,0,0,107,2,45,Couple,0,1,640
Undergraduate,54162.0,31,5,6,10,6,5,10,1,1,0,3,4,0,0,0,0,0,0,0,42,2,43,Single,0,4,628
Master,30522.0,6,179,8,83,19,11,26,5,1,2,9,2,0,0,0,0,0,0,0,326,1,61,Couple,0,12,841
PhD,54456.0,23,352,0,27,10,0,15,3,6,1,7,6,0,0,0,0,0,0,0,404,1,60,Couple,0,14,394
Undergraduate,31632.0,92,17,8,12,11,15,32,1,2,1,2,7,0,0,0,0,0,0,0,95,0,50,Single,0,5,510
Undergraduate,72298.0,52,625,35,169,58,17,35,1,4,3,6,1,0,1,1,0,0,0,0,939,0,72,Single,2,13,64
Master,36975.0,50,10,6,11,0,4,2,1,1,0,3,7,0,0,0,0,0,0,0,33,1,43,Single,0,4,343
Master,72635.0,54,390,22,323,104,35,107,1,6,8,6,3,0,0,0,1,0,0,0,981,0,66,Couple,1,20,640
Undergraduate,13624.0,93,10,2,15,2,1,6,2,2,0,3,6,0,0,0,0,0,0,0,36,1,45,Couple,0,5,685
Undergraduate,84196.0,56,215,63,507,231,31,190,1,8,4,7,3,0,0,0,0,0,0,0,1237,1,46,Single,0,19,640
Undergraduate,70971.0,28,1001,17,572,93,125,17,7,11,11,5,7,0,0,0,0,0,0,1,1825,1,61,Couple,1,27,806
PhD,34487.0,94,19,18,33,24,1,8,3,3,0,3,9,0,0,0,0,0,0,0,103,2,44,Single,0,6,910
Undergraduate,28769.0,76,41,5,129,10,3,3,3,4,1,4,9,0,0,0,0,0,0,0,191,1,44,Single,0,9,718
PhD,69084.0,43,1181,107,199,39,30,30,2,7,3,13,8,0,0,0,0,0,0,0,1586,1,51,Couple,0,23,382
PhD,65488.0,46,603,45,207,36,18,54,1,3,4,6,1,0,0,0,0,0,0,0,963,0,63,Couple,0,13,176
Master,62466.0,13,129,129,259,168,121,83,5,6,3,12,4,0,0,0,0,0,0,0,889,1,51,Couple,0,21,325
Master,32218.0,27,10,24,15,13,1,30,1,2,1,3,7,1,0,0,0,0,0,1,93,0,61,Single,2,6,294
Undergraduate,83917.0,12,514,22,732,42,198,79,1,6,7,7,3,0,0,0,0,0,0,1,1587,0,48,Single,1,20,597
Undergraduate,46102.0,3,14,0,1,0,0,1,1,1,0,2,7,0,0,0,0,0,0,0,16,3,59,Single,0,3,64
Undergraduate,84574.0,72,387,20,713,38,54,163,1,9,11,11,5,0,0,0,0,0,0,0,1375,0,69,Single,0,31,609
Undergraduate,56181.0,6,121,103,69,8,44,48,1,4,2,7,4,0,0,0,0,0,0,0,393,1,59,Couple,0,13,492
Master,63120.0,53,965,69,279,54,41,69,5,8,4,9,7,0,0,0,0,0,0,1,1477,1,71,Single,1,21,799
Undergraduate,73691.0,58,707,21,250,85,43,73,2,6,2,8,2,1,0,0,0,0,0,0,1179,1,50,Couple,1,16,543
Undergraduate,63381.0,78,571,50,142,33,50,159,4,4,5,13,2,0,0,0,0,0,0,0,1005,1,61,Couple,0,22,940
PhD,76140.0,57,586,66,653,17,0,26,1,5,9,6,2,0,0,0,0,0,0,0,1348,0,73,Couple,0,20,207
PhD,62859.0,37,1063,89,102,16,12,25,4,9,4,6,6,0,0,0,0,0,0,0,1307,1,62,Single,0,19,706
Undergraduate,45906.0,20,305,3,27,4,3,144,2,5,4,4,5,1,0,0,0,0,0,0,486,1,57,Single,1,13,519
Master,77632.0,73,1200,105,758,0,42,147,1,4,2,6,2,0,1,1,0,0,0,1,2252,0,74,Couple,3,12,429
PhD,46463.0,56,163,2,40,8,11,11,7,3,1,6,6,0,0,0,0,0,0,0,235,2,50,Couple,0,10,475
Undergraduate,105471.0,36,1009,181,104,202,21,207,0,9,8,13,3,0,0,1,1,0,0,1,1724,0,51,Couple,3,30,684
Master,55282.0,9,125,6,73,8,4,19,1,3,1,6,4,0,0,0,0,0,0,0,235,1,51,Single,0,10,358
Master,78710.0,42,721,0,152,119,50,50,3,7,6,12,4,0,0,0,0,0,0,0,1092,1,44,Couple,0,25,197
Undergraduate,66886.0,28,315,4,62,41,31,146,2,7,1,7,5,0,0,0,0,0,0,0,599,1,63,Couple,0,15,446
Master,98777.0,23,1000,19,711,125,115,38,0,4,6,9,1,0,1,0,0,0,0,0,2008,0,61,Single,1,19,292
Undergraduate,29103.0,38,16,0,17,6,3,6,2,1,0,3,9,0,0,0,0,0,0,0,48,1,36,Couple,0,4,831
Undergraduate,67445.0,63,757,80,217,29,80,11,5,9,6,12,6,0,0,0,0,0,0,0,1174,1,47,Couple,0,27,728
PhD,50616.0,71,30,2,25,0,1,9,1,1,1,4,2,0,0,0,0,0,0,0,67,1,71,Couple,0,6,237
Undergraduate,49431.0,9,219,3,100,26,0,17,2,7,1,5,8,0,0,0,0,0,0,0,365,1,66,Single,0,13,1003
Undergraduate,153924.0,81,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,46,Single,0,0,157
Undergraduate,61278.0,87,111,3,28,2,6,15,2,3,1,4,6,0,0,0,0,0,0,0,165,1,68,Couple,0,8,249
Master,26490.0,92,45,47,52,21,20,25,2,3,1,5,6,0,0,0,0,0,0,0,210,0,63,Couple,0,9,805
PhD,73059.0,36,410,112,420,0,82,71,1,9,3,13,4,0,0,0,0,0,0,0,1095,1,74,Couple,0,25,462
PhD,46734.0,86,100,1,39,6,1,76,4,3,2,3,6,1,0,0,0,0,0,0,223,3,55,Single,1,8,411
Undergraduate,56253.0,83,509,0,65,7,11,5,4,7,2,9,6,0,0,0,0,0,0,0,597,1,58,Couple,0,18,877
Undergraduate,19986.0,74,3,6,5,0,2,6,1,0,0,3,7,0,0,0,0,0,0,0,22,1,36,Couple,0,3,387
Undergraduate,58330.0,87,445,53,213,104,98,151,1,6,4,13,4,0,0,0,0,0,0,0,1064,1,46,Single,0,23,346
Highschool,25965.0,29,2,2,11,41,7,11,1,2,0,3,8,0,0,0,0,0,0,0,74,0,41,Couple,0,5,880
Master,14661.0,88,4,1,11,6,2,2,1,1,0,3,6,0,0,0,0,0,0,0,26,0,65,Couple,0,4,704
Undergraduate,18690.0,77,6,1,7,23,4,19,1,1,1,2,8,0,0,0,0,0,0,0,60,0,62,Couple,0,4,708
PhD,45068.0,25,14,0,3,0,0,3,1,1,0,2,7,0,0,0,0,0,0,0,20,1,47,Couple,0,3,569
Highschool,21063.0,34,1,10,11,19,3,15,2,2,0,3,6,0,0,0,0,0,0,0,59,1,34,Single,0,5,437
PhD,29187.0,43,26,0,6,0,0,2,1,1,0,3,8,0,0,0,0,0,0,0,34,1,53,Couple,0,4,457
Master,54690.0,76,111,16,37,7,9,18,3,3,1,5,3,0,0,0,0,0,0,0,198,2,50,Couple,0,9,513
PhD,59304.0,81,418,61,428,80,51,10,3,7,8,10,5,0,0,0,0,0,0,0,1048,1,57,Couple,0,25,495
Master,59247.0,87,327,9,122,19,14,83,5,5,2,9,6,0,0,0,0,0,0,0,574,2,59,Single,0,16,482
Undergraduate,66731.0,33,371,159,194,58,106,141,4,4,3,6,3,0,0,0,0,0,0,0,1029,1,51,Single,0,13,727
Undergraduate,77353.0,38,275,59,107,69,101,59,2,6,4,8,4,0,0,0,0,0,0,0,670,1,41,Couple,0,18,355
PhD,52614.0,63,789,0,142,12,9,38,2,2,4,8,8,0,0,0,0,0,0,0,990,1,46,Single,0,14,1059
Undergraduate,26751.0,26,1,1,5,0,3,1,1,1,0,2,8,0,0,0,0,0,0,0,11,2,47,Couple,0,3,198
PhD,81300.0,17,1004,12,145,32,12,36,3,10,3,5,5,0,0,0,1,0,0,1,1241,1,58,Couple,2,18,767
Undergraduate,70337.0,75,187,81,149,25,43,91,1,2,2,12,1,0,0,0,0,0,0,0,576,0,42,Single,0,16,308
Master,36145.0,13,56,4,76,17,1,18,4,4,1,3,9,1,0,0,0,0,0,1,172,1,36,Couple,2,8,538
PhD,65295.0,19,365,32,117,34,110,6,1,3,3,13,2,0,0,0,0,0,0,0,664,0,41,Single,0,19,348
Undergraduate,68118.0,51,595,23,123,10,23,154,2,8,9,4,6,0,0,0,0,0,0,0,928,1,58,Single,0,21,414
Undergraduate,68743.0,81,1132,134,384,175,134,115,1,11,5,13,7,0,0,0,0,0,0,0,2074,0,54,Single,0,29,828
Master,41039.0,32,34,11,137,179,61,45,1,8,1,5,8,0,0,0,0,0,0,0,467,0,39,Couple,0,14,499
Undergraduate,38946.0,84,116,6,82,6,6,41,2,3,1,6,5,0,0,0,0,0,0,0,257,1,66,Couple,0,10,408
Undergraduate,65777.0,87,565,32,435,28,32,54,1,2,8,6,1,0,0,0,0,0,0,0,1146,0,54,Couple,0,16,352
PhD,66476.0,99,372,18,126,47,48,78,2,5,2,11,4,0,0,0,0,0,0,0,689,1,45,Single,0,18,521
PhD,86857.0,96,899,102,838,133,102,40,1,5,6,10,2,0,0,0,0,0,0,1,2114,0,49,Single,1,21,727
PhD,160803.0,21,55,16,1622,17,3,4,15,0,28,1,0,0,0,0,0,0,0,0,1717,0,39,Couple,0,29,972
PhD,77845.0,40,760,40,480,0,40,26,1,3,5,12,1,0,0,1,1,0,0,0,1346,0,32,Couple,2,20,204
PhD,69476.0,3,260,86,559,63,9,67,1,4,6,4,2,0,0,0,0,0,0,0,1044,0,52,Couple,0,14,432
PhD,50611.0,98,459,0,24,6,0,4,6,4,5,7,6,0,1,0,0,0,0,1,493,1,61,Single,2,16,970
Undergraduate,61209.0,73,466,0,224,119,49,99,1,5,3,4,2,0,0,0,0,0,0,0,957,0,51,Single,0,12,468
Master,42315.0,90,67,15,80,17,11,80,3,1,4,4,3,0,0,0,0,0,0,0,270,1,63,Couple,0,9,364
Highschool,13084.0,29,2,0,7,3,7,10,1,1,0,3,6,0,0,0,0,0,0,0,29,0,69,Couple,0,4,663
Master,47570.0,3,67,1,20,0,2,31,3,2,2,2,7,0,0,0,0,0,0,1,121,2,72,Single,1,6,556
Master,61923.0,94,92,4,18,3,3,6,1,2,1,4,3,0,0,0,0,0,0,0,126,2,60,Couple,0,7,498
Undergraduate,34824.0,65,4,2,11,2,0,4,1,1,0,2,6,0,0,0,0,0,0,0,23,0,26,Single,0,3,255
PhD,26518.0,33,20,1,28,3,3,2,3,2,0,3,8,0,0,0,0,0,0,1,57,2,72,Single,1,5,489
Undergraduate,45938.0,46,273,11,178,62,83,29,2,8,4,6,6,0,0,0,0,0,0,0,636,0,60,Single,0,18,635
Undergraduate,78468.0,29,434,22,388,104,22,34,1,10,7,10,4,0,0,0,1,0,0,0,1004,0,61,Couple,1,27,93
Undergraduate,78901.0,99,321,11,309,33,26,34,3,9,3,5,4,0,0,0,0,0,0,0,734,1,48,Single,0,17,445
Undergraduate,71427.0,26,212,123,177,15,64,23,2,8,2,8,4,0,0,0,0,0,0,0,614,2,43,Couple,0,18,3
Undergraduate,71022.0,30,909,12,278,0,12,242,3,5,2,11,8,1,0,0,0,0,0,0,1453,1,43,Single,1,18,34
Master,90247.0,27,1184,32,352,21,16,16,1,3,4,7,1,0,1,1,1,0,0,1,1621,0,33,Single,4,14,221
Master,41335.0,24,112,19,21,16,14,5,3,4,1,4,7,0,0,0,0,0,0,0,187,1,53,Single,0,9,345
Undergraduate,71952.0,93,656,80,455,52,107,93,2,8,4,8,4,1,0,1,0,0,0,0,1443,1,35,Couple,2,20,431
PhD,35682.0,34,23,0,8,6,2,18,1,1,1,3,2,0,0,0,0,0,0,0,57,1,51,Single,0,5,162
Undergraduate,43185.0,88,537,6,42,16,6,30,2,9,3,6,8,0,0,0,0,0,0,0,637,1,70,Single,0,18,428
PhD,66375.0,96,712,0,45,0,0,191,3,2,4,5,7,1,0,0,0,0,0,0,948,1,73,Couple,1,11,380
Master,35178.0,10,23,1,13,2,2,18,1,1,1,2,7,1,0,0,0,0,0,1,59,1,50,Couple,2,4,431
Undergraduate,25252.0,26,1,3,4,2,2,6,1,1,0,2,8,0,0,0,0,0,0,0,18,1,35,Couple,0,3,364
Master,55250.0,49,664,58,83,32,0,66,4,7,5,10,5,0,0,0,0,0,0,0,903,1,56,Single,0,22,776
Undergraduate,33249.0,11,6,10,21,19,14,42,2,2,1,3,6,0,0,0,0,0,0,0,112,1,46,Single,0,6,654
Undergraduate,58398.0,44,299,5,201,21,21,49,3,5,4,8,4,0,0,0,0,0,0,0,596,0,68,Couple,0,17,571
Undergraduate,50272.0,75,99,13,66,43,8,4,3,4,1,5,7,0,0,0,0,0,0,0,233,1,39,Couple,0,10,516
PhD,76618.0,64,749,40,294,121,160,147,1,3,2,5,1,0,0,0,0,0,0,0,1511,0,46,Couple,0,10,877
Master,87305.0,19,345,25,501,63,138,80,1,5,3,8,2,0,0,1,0,0,0,1,1152,0,61,Single,2,16,804
Undergraduate,25851.0,45,9,4,18,7,5,5,2,2,0,3,7,0,0,0,0,0,0,0,48,1,43,Couple,0,5,399
Undergraduate,58710.0,77,440,81,368,0,122,174,6,11,5,9,6,0,0,0,0,0,0,0,1185,1,51,Single,0,25,615
Undergraduate,45160.0,9,8,2,5,3,0,3,1,1,0,2,7,0,0,0,0,0,0,0,21,2,63,Single,0,3,252
Master,74806.0,1,670,9,249,0,28,9,2,5,4,5,4,0,0,0,0,0,0,0,965,1,56,Couple,0,14,717
Undergraduate,59111.0,90,524,0,134,28,28,155,1,11,1,8,7,0,0,0,0,0,0,0,869,0,67,Couple,0,20,669
PhD,18988.0,43,6,0,6,2,1,1,2,1,0,3,7,0,0,0,0,0,0,0,16,1,37,Couple,0,4,197
Undergraduate,72190.0,79,597,166,597,172,166,249,1,5,6,4,3,0,0,0,0,0,0,0,1947,0,56,Couple,0,15,661
Undergraduate,7500.0,19,7,0,12,13,7,32,5,4,1,2,9,1,0,0,0,0,0,1,71,1,45,Couple,2,7,1063
Undergraduate,44794.0,99,54,0,7,0,0,4,1,2,0,3,6,0,0,0,0,0,0,0,65,1,55,Couple,0,5,122
Undergraduate,80395.0,62,445,25,706,80,76,48,1,6,5,12,2,0,0,0,1,0,0,0,1380,0,66,Couple,1,23,378
Master,75012.0,41,294,142,218,164,58,151,1,3,8,11,1,0,0,0,0,0,0,0,1027,0,45,Single,0,22,315
Master,56962.0,60,292,3,77,10,3,26,7,6,3,5,7,0,0,0,0,0,0,0,411,3,56,Couple,0,14,391
Undergraduate,89891.0,17,412,22,132,59,28,183,1,11,6,8,4,0,0,1,0,0,0,0,836,0,30,Couple,1,25,600
PhD,35946.0,24,8,0,3,0,0,0,1,0,0,3,5,0,0,0,0,0,0,0,11,2,72,Single,0,3,435
PhD,53593.0,60,349,4,78,6,0,43,8,7,2,6,8,0,0,0,0,0,0,0,480,2,68,Couple,0,15,881
Undergraduate,66373.0,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,0,606,2,43,Couple,0,16,365
PhD,45072.0,74,144,2,99,7,2,30,5,6,1,4,8,0,0,0,0,0,0,0,284,3,73,Single,0,11,416
Undergraduate,89694.0,22,1126,28,211,37,28,42,3,4,3,4,5,0,1,1,1,0,0,0,1472,2,48,Single,3,11,452
Undergraduate,72025.0,46,967,0,617,43,50,0,1,4,8,13,2,0,1,1,1,0,0,1,1677,0,72,Couple,4,25,221
Undergraduate,67432.0,69,432,79,341,177,136,170,2,8,5,4,4,0,0,0,0,0,0,0,1335,1,48,Couple,0,17,617
Master,70545.0,29,138,39,63,55,18,21,1,4,1,7,2,0,0,0,0,0,0,0,334,1,69,Couple,0,12,275
Highschool,17487.0,37,0,0,1,7,4,6,1,1,0,2,7,0,0,0,0,0,0,0,18,1,32,Couple,0,3,628
Undergraduate,62882.0,26,509,133,497,78,24,97,2,7,5,6,4,0,0,0,0,0,0,0,1338,1,52,Couple,0,18,819
PhD,64108.0,8,948,10,86,13,21,21,4,6,9,11,5,0,0,0,0,0,0,0,1099,1,68,Single,0,26,623
Master,34941.0,26,39,2,25,4,3,24,2,3,0,3,8,0,0,0,0,0,0,0,97,2,65,Couple,0,6,551
PhD,48767.0,79,28,1,21,3,0,10,3,2,1,3,5,0,0,0,0,0,0,0,63,3,71,Single,0,6,339
Master,38702.0,71,13,11,24,13,8,40,2,3,0,4,6,0,0,0,0,0,0,0,109,1,43,Couple,0,7,697
Undergraduate,82224.0,83,307,26,360,138,31,40,1,6,9,5,3,0,0,0,1,0,0,0,902,0,57,Couple,1,20,315
Undergraduate,83844.0,57,901,31,345,75,31,191,1,4,4,11,1,0,0,1,0,0,0,0,1574,0,69,Couple,1,19,366
Master,17003.0,37,2,5,12,4,8,7,3,2,0,4,5,0,0,0,0,0,0,0,38,1,46,Couple,0,6,450
Undergraduate,71163.0,30,283,17,372,138,106,44,1,3,8,12,1,0,0,0,0,0,0,0,960,0,26,Single,0,23,94
Undergraduate,33697.0,34,4,3,7,0,3,11,1,1,0,2,7,1,0,0,0,0,0,0,28,1,51,Single,1,3,447
Master,63564.0,0,769,80,252,15,34,65,1,10,10,7,6,1,0,0,0,0,0,1,1215,0,67,Couple,2,27,311
PhD,83443.0,89,518,42,742,55,56,84,1,6,10,5,2,0,0,0,0,0,0,0,1497,0,49,Couple,0,21,340
PhD,51518.0,92,350,8,66,17,4,4,2,3,2,10,3,0,0,0,0,0,0,0,449,1,63,Couple,0,15,636
Undergraduate,58330.0,87,445,53,213,104,98,151,1,6,4,13,4,0,0,0,0,0,0,0,1064,1,46,Single,0,23,346
Undergraduate,80952.0,20,778,178,689,41,27,44,1,8,5,11,8,0,1,1,1,0,0,1,1757,0,52,Couple,4,24,646
Undergraduate,75507.0,56,709,93,374,104,80,80,1,8,6,6,3,0,0,0,0,0,0,0,1440,0,42,Couple,0,20,304
Master,63855.0,28,359,35,314,93,116,89,1,7,3,13,4,0,0,0,0,0,0,0,1006,0,43,Couple,0,23,460
PhD,62220.0,55,799,12,375,16,12,12,5,7,6,5,6,0,0,0,0,0,0,1,1226,1,49,Couple,1,18,758
Undergraduate,58512.0,25,895,10,101,13,0,152,5,3,4,8,8,0,0,0,0,0,0,0,1171,1,57,Couple,0,15,443
Master,40662.0,0,40,2,23,0,4,23,2,2,1,3,4,0,0,0,0,0,0,0,92,1,42,Couple,0,6,631
PhD,38829.0,86,76,0,7,0,0,16,1,3,2,2,5,0,0,0,0,0,0,0,99,1,62,Couple,0,7,185
Master,35523.0,8,11,5,22,12,5,11,2,3,0,3,7,0,0,0,0,0,0,0,66,1,40,Couple,0,6,636
Undergraduate,79146.0,33,245,16,223,21,43,16,2,8,1,8,6,0,0,0,0,0,0,0,564,2,54,Single,0,17,226
Master,78285.0,13,647,107,391,175,67,40,1,6,4,10,3,0,0,0,0,0,0,0,1427,0,33,Couple,0,20,404
PhD,31626.0,12,39,1,9,2,1,34,1,2,1,2,7,1,0,0,0,0,0,1,86,1,43,Single,2,5,427
Undergraduate,75127.0,92,203,35,305,46,17,227,1,2,11,5,1,0,0,0,0,0,0,0,833,0,69,Single,0,18,198
